id,nome,tipo_edificio,coord_X,coord_Y,capienza
3782,Cao,restaurant,4002636.113833593,1177680.0632905015,40
3783,Dal pugliese,restaurant,4002657.402734502,1177675.1490435174,40
3784,Ralph's,pub,4007145.7563176854,1175178.1743811807,30
3785,La nuova Certosina,restaurant,4013109.345018847,1169197.2985329546,40
3786,Asmara,restaurant,4009193.637233997,1178580.829985017,40
3787,Ristorante 168,restaurant,4012094.729648651,1175656.8831998643,40
3788,La Granseola,restaurant,4006726.608432099,1173398.599222441,40
3789,I love poke,restaurant,4006707.777397943,1173322.8904252201,40
3790,Tathagata Gastronomia,fast_food,4006723.15706436,1173386.4374509344,35
3791,Tortona 12,bar,4006796.3510973104,1173646.2817429246,20
3792,Laguna Blu,restaurant,4006488.9969615885,1169897.7601329947,40
3793,La Forchetta,restaurant,4006593.3661669353,1170106.5924706466,40
3794,Zero Due,bar,4006880.0509138,1171185.7224343554,20
3795,Hobby,restaurant,4006757.6751498333,1171291.9774567818,40
3796,Frank Cisco,bar,4006699.6714434265,1169456.6653833224,20
3797,Re Pizza Kebab,restaurant,4006859.2179393047,1169352.6901389707,40
3798,Jin,restaurant,4006507.1578809083,1169835.5360923295,40
3799,Yujingyuang,restaurant,4006392.7332744696,1169862.7021087734,40
3800,Elegance,restaurant,4012706.0168209854,1169420.5699168285,40
3801,Vincendo,restaurant,4013025.0783808455,1169185.423075796,40
3802,Alice,restaurant,4010347.163257413,1176558.6690819098,40
3803,Forchetta d'Oro,restaurant,4011605.4584304667,1176045.1977042889,40
3804,Trattoria San Basilio,restaurant,4013239.387708882,1179290.258902909,40
3805,Waiting Bar,bar,4011428.2923015,1176052.25829149,20
3806,Ristorante Lepontina,restaurant,4011596.5001750733,1175977.1638571422,40
3807,Trattoria Piccolo Fumino,restaurant,4011630.630853359,1175734.4433467218,40
3808,Mac Donald,fast_food,4006313.3975823773,1167670.501723588,35
3809,Bjork,restaurant,4009329.408231209,1178114.8357971555,40
3810,Habesha Bar e Ristorante,restaurant,4009344.440037376,1178136.2107567776,40
3811,Martha Bar Restaurant,restaurant,4009351.9946036898,1178119.7015903422,40
3812,Mantra Vegan Raw,restaurant,4009338.4909867374,1178148.4150163806,40
3813,Dhaba,restaurant,4009321.4047473446,1178128.528632921,40
3814,Ristorante Ai Giardini,restaurant,4009260.753550676,1178158.3042975313,40
3815,MotoPizza,fast_food,4012628.769400556,1170710.1689924297,35
3816,Pizzeria Kebab San Ciro,fast_food,4013259.428714189,1170505.04622959,35
3817,Rizzo Come a Casa,restaurant,4013342.7419533096,1170422.9389114492,40
3818,Burger Wave Arco della Pace,fast_food,4009596.8847144283,1174468.6067797903,35
3819,Casa Lodi,restaurant,4007704.048808354,1176301.8041839357,40
3820,Il Priscio,restaurant,4007617.8589099185,1176837.9090902521,40
3821,Dogana,restaurant,4007731.3424053816,1176289.0418396117,40
3822,La Caveja,fast_food,4007535.8542785402,1176500.5600294464,35
3823,Pizza Pazza,restaurant,4007498.3983302675,1177093.8033815436,40
3824,Spontini,restaurant,4007735.5041087046,1176247.4063895969,40
3825,a'Mare,restaurant,4007619.7377955164,1176819.3132062557,40
3826,Momus,restaurant,4008697.184103019,1175782.0079410705,40
3827,Dinette,restaurant,4007795.5210589957,1179627.4414298148,40
3828,Nozomi,restaurant,4007910.1407047524,1179023.7917925084,40
3829,Ristorante Coreano Ginmi,restaurant,4009699.2680889242,1180226.564882145,40
3830,Gaya,restaurant,4009798.0536393006,1179385.6364519494,40
3831,Komenn thai,restaurant,4005894.587687995,1178386.5318271043,40
3832,Liù Sas di Spinosa Salvatore C.,restaurant,4008893.348727875,1179677.5918452814,40
3833,11rooftop,bar,4010225.114580338,1176211.9377204378,20
3834,Ristorante via Marangoni,restaurant,4009991.0405380516,1177846.691532361,40
3835,Biancolatte,restaurant,4009308.942782358,1177239.8304181136,40
3836,Ca' Turati,restaurant,4009375.443510567,1177316.5385374555,40
3837,Desinolento,restaurant,4008979.6200738535,1177237.290452049,40
3838,Parco Sushi,restaurant,4008923.2916157614,1177252.6447335426,40
3839,Panino Giusto,restaurant,4009362.5920664403,1177300.1732129299,40
3840,Sushi Etc,restaurant,4008933.0352052515,1177261.229603422,40
3841,Subway,fast_food,4009146.1283749826,1177063.162997846,35
3842,Sushi Shop,restaurant,4009094.5421996815,1177136.9212947635,40
3843,Farina e Pomodoro,restaurant,4009033.1898338455,1177144.9193238304,40
3844,NUI City Jungle Cafè,restaurant,4009161.1070298254,1177077.403737933,40
3845,A' Vucciria,fast_food,4006467.9150125664,1174710.5372405539,35
3846,Restaurant,restaurant,4010840.030943233,1168487.8144433922,40
3847,Pizza Ok,restaurant,4008905.468155339,1179152.7231913714,40
3848,Maio Restaurant,restaurant,4007909.196104899,1176656.1067366784,40
3849,La Ratera,restaurant,4012350.836309989,1165232.1870613238,40
3850,Caffé Sudan,bar,4006683.2010362507,1173087.6295653712,20
3851,Mudec Bistrot,restaurant,4006600.70704168,1172651.8080379819,40
3852,Streetoast,fast_food,4007777.2090461804,1176306.0075396176,35
3853,Trattoria Toscana,restaurant,4006974.142548659,1175155.7720388984,40
3854,Shizen,restaurant,4010637.641167092,1181063.190326595,40
3855,Osteria al 55,restaurant,4011199.7881551352,1174277.454229094,40
3856,Bikers Bar,bar,4010985.1068377187,1174378.0989315785,20
3857,Ristorante Alfredo,restaurant,4011235.281488146,1174127.0879714577,40
3858,Toukaijojou,restaurant,4011002.177566687,1174234.8522767976,40
3859,Wok of Milan,restaurant,4011051.762180755,1174194.5361338982,40
3860,Pepe Verde,restaurant,4010989.009238222,1174349.3619632283,40
3861,Ristorante Melaverde,restaurant,4010814.6658805204,1174197.671448349,40
3862,Primo Gusto,restaurant,4011009.3952896115,1174119.8214487052,40
3863,Thai Square,restaurant,4011037.900717402,1174299.8619804017,40
3864,Trattoria Aurora,restaurant,4006949.1203176333,1173380.5078959789,40
3865,nacondo,bar,4012988.422331458,1173360.927257347,20
3866,Accademia Libanese,restaurant,4010387.9795082672,1181529.5302326188,40
3867,Kashmir,restaurant,4009050.4737008144,1178670.303603933,40
3868,"Bar Trattoria Pizzeria ""Da Marco""",restaurant,4013230.5998781035,1184630.2406663368,40
3869,Farina & Cucina,restaurant,4008042.469905428,1176855.762709211,40
3870,Antica Pizza Fritta di Zia Esterina,restaurant,4008040.5159210893,1176685.2178226488,40
3871,Casa Ramen,restaurant,4011007.6981074153,1176549.263914453,40
3872,Birreria Spiller,pub,4006774.8942281334,1178833.1243464577,30
3873,Jiang,restaurant,4006691.217888087,1179251.9361348113,40
3874,Ryad Yacout,restaurant,4006762.1482651876,1179321.980738448,40
3875,Il Piacentino,restaurant,4006072.1794440425,1178239.9218341706,40
3876,Casa Tua Osteria,restaurant,4006097.187181955,1178208.8845919934,40
3877,Al Paradiso della Pizza,restaurant,4013982.0826499583,1175164.9464010207,40
3878,Innocenti Evasioni,restaurant,4011955.814554516,1171596.9603343909,40
3879,Il Secco,bar,4006319.3223281577,1173689.5932016836,20
3880,Brembo,restaurant,4005117.6928137266,1178869.0414096457,40
3881,The White Flag,pub,4005120.9202259593,1178815.194530921,30
3882,Pomodoro & Basilico,restaurant,4005348.941781376,1164448.8893358014,40
3883,Osteria Tajoli,restaurant,4005124.7340544243,1178753.366274786,40
3884,Bar Bianco,bar,4008989.0101261814,1178040.3524072305,20
3885,Granaio,restaurant,4008032.433454235,1176234.5626514268,40
3886,Panini Durini,fast_food,4007995.9239409333,1176246.1367192192,35
3887,Lo Smeraldo,restaurant,4007946.197582926,1182211.0391593296,40
3888,Sibilla,restaurant,4008757.474904798,1175806.559396836,40
3889,PreTesto,restaurant,4007072.6460624333,1178532.5669332596,40
3890,Piz,restaurant,4007624.1542576305,1175876.9176032224,40
3891,Spritzz Café,bar,4004290.0471886536,1160237.9309450898,20
3892,Il Circolino,restaurant,4003948.163607848,1160186.5224523945,40
3893,Al vecchio ponte,restaurant,4004404.492731916,1185906.2683837314,40
3894,Il Verdi,restaurant,4009247.2546337508,1176600.3557225547,40
3895,Bar Tribune,bar,4007742.897232959,1189097.70447678,20
3896,Tiramisu Delishoes Milano,restaurant,4008827.896951671,1175955.0237836747,40
3897,Calafuria,restaurant,4011829.0977384197,1177091.7361277232,40
3898,Sabatini,restaurant,4009504.726674714,1179038.706079268,40
3899,Sunrise,restaurant,4010550.1566718286,1179207.6403609181,40
3900,Giglio Bar,bar,4010652.5322928247,1179277.610726548,20
3901,Dinky,restaurant,4010802.6517405445,1179250.816394502,40
3902,Rosso Mattone,restaurant,4010641.558917832,1179261.9194484423,40
3903,Trattoria L'Angolo Nascosto,restaurant,4012035.723815932,1178568.17616323,40
3904,Trattoria Siciliana Da Salvatore,restaurant,4010726.7151890537,1179268.0225211033,40
3905,Al Cantinone,restaurant,4008052.826113059,1176665.8701301164,40
3906,Ristorante Al Mercante,restaurant,4007949.024222118,1176093.0639126694,40
3907,Trattoria Bruschetteria Chiesa Vecchia,restaurant,4012764.5273435777,1173430.543044881,40
3908,Meat Grill Food,restaurant,4008036.4098779573,1176594.2769054791,40
3909,Bar,bar,4007053.9496482504,1177245.87592832,20
3910,Fenice,bar,4004343.135958807,1160219.0707397487,20
3911,da Vic,restaurant,4009278.054041804,1171377.1986104273,40
3912,The English Football Pub,pub,4007624.029173348,1175820.75468023,30
3913,Replay - The Stage Fine Dining,restaurant,4010258.288713551,1176495.4295987594,40
3914,Bistrot Manzoni,restaurant,4008676.519508095,1176984.0373300936,40
3915,Nobu,restaurant,4008646.5224125218,1176901.131042405,40
3916,La Tavernetta da Elio,restaurant,4008862.312583006,1176976.7828879664,40
3917,Tizio & Caio,restaurant,4013122.8040427594,1181055.5529872603,40
3918,Sushi Ran,restaurant,4012322.26968812,1174295.319370857,40
3919,Ciao Pizza,fast_food,4010069.7954745507,1176066.9145883298,35
3920,Osteria del Gambero Rosso,restaurant,4010058.3670666777,1176098.562304822,40
3921,Morsi e Rimorsi,restaurant,4010040.6669197874,1176062.7845681005,40
3922,Herry's Bar,bar,4010032.047887524,1176181.6821271405,20
3923,Gam,restaurant,4010104.573275303,1175972.428504162,40
3924,Sphera Locura,bar,4006389.7546174033,1174719.9597491804,20
3925,Istanbul Turkish kebab,fast_food,4006408.627165913,1174718.2924741786,35
3926,Il Pomodorino,restaurant,4006381.661039631,1174719.1991415028,40
3927,Ego,bar,4006447.8180050077,1174717.494699662,20
