id,nome,tipo_edificio,coord_X,coord_Y,capienza
5624,Park,park,4003871.702863982,1174875.657490855,150
5625,Park,park,4011672.765730432,1177671.7097083624,150
5626,Giardino Sergio Ramelli,park,4009101.4171936456,1180344.4726277061,150
5627,Park,park,4010899.8486789376,1180380.1039431817,150
5628,Park,park,4008445.3735464914,1174817.896072158,150
5629,Park,park,4004111.019778319,1180470.3629476014,150
5630,Museo centrale dell'acqua,museum,4011070.996814343,1173526.1678571883,50
5631,Giardino Giuseppe Lazzati,park,4009489.264985606,1173100.4174681422,150
5632,Giardino Oriana Fallaci,park,4006373.8433931144,1176801.10905709,150
5633,Park,park,4014940.346978909,1174510.3764498117,150
5634,Park,park,4007764.426957675,1173077.4862686212,150
5635,Park,park,4012368.362446595,1169265.039413206,150
5636,Park,park,4009464.3388051176,1171952.5704476824,150
5637,Park,park,4009432.025696241,1172228.8121172988,150
5638,Giardino Aristide Calderini,park,4008044.752241631,1174929.3090951783,150
5639,Park,park,4011553.9858145914,1183119.2359804073,150
5640,Giardino Sandro Pertini,park,4012961.534571382,1166513.546641017,150
5641,Piazza Miani,park,4004897.3307975167,1171575.5936576359,150
5642,Park,park,4004874.9675292633,1171480.0057997147,150
5643,Parco di Piazza Negrelli,park,4005846.5865693856,1169851.177830787,150
5644,Parco Carlo Marx,park,4014540.2446685373,1183962.0191460522,150
5645,Park,park,4008367.2378038093,1169159.762652989,150
5646,Piazzale Siena,park,4008641.6814400735,1169695.723812454,150
5647,Park,park,4008234.824158429,1169665.0342646725,150
5648,Park,park,4007979.8328446075,1168443.5969075565,150
5649,Park,park,4007298.738014414,1167558.183040605,150
5650,Giardino Helenio Herrera,park,4010133.4656094834,1168102.9800974333,150
5651,Park,park,4008249.1926005306,1163556.1332821758,150
5652,Park,park,4008338.402942356,1163526.75412355,150
5653,Parco Tadini,park,4002580.2598822895,1185247.9455583133,150
5654,Giardino delle Maioliche,park,4002419.8276912025,1185791.0073990207,150
5655,Park,park,4002550.304140362,1185542.7895162245,150
5656,Park,park,4008791.5357784308,1186533.101690948,150
5657,Park,park,4008532.4801327274,1186698.9725788177,150
5658,Park,park,4008973.53738521,1186822.174127597,150
5659,Park,park,4011762.1340499995,1181603.2071834202,150
5660,Park,park,4013620.9648159696,1184354.9930619516,150
5661,Park,park,4013493.5962483026,1180430.1180461694,150
5662,Park,park,4014601.679842326,1170725.0849485907,150
5663,Giardino Salvador Allende,park,4010478.7120098425,1172926.1400325603,150
5664,Park,park,4009112.0058025005,1186574.5664312767,150
5665,Park,park,4008275.1237976616,1165594.7200122261,150
5666,Park,park,4008203.766711701,1165209.4397287942,150
5667,Park,park,4008120.9615965555,1169550.087557995,150
5668,Park,park,4006500.470066969,1166287.6444784664,150
5669,Park,park,4012705.5545332553,1171795.9087382664,150
5670,Park,park,4012950.90713432,1172049.9701748157,150
