id,nome,tipo_edificio,lvl_edificio,dipendenti,coord_X,coord_Y
2353,McDonald's,fast_food,,7,4006082.263253847,1177910.934631925
2354,Blues Bikers Pub,pub,,5,4005766.903946307,1175030.8308135443
2355,McDonald's,fast_food,,7,4007881.204920439,1176231.9091047174
2356,Fuoripizza,fast_food,,7,4005110.583569908,1170923.6671232178
2357,NihonKai,restaurant,,10,4011669.2374194213,1172102.1143200886
2358,Al Capriccio,restaurant,,10,4007072.681413955,1171777.2953688914
2359,Self Service Roncaglia,restaurant,,10,4007572.7444758858,1171837.0847135698
2360,Don Raffaele,restaurant,,10,4007575.9412901,1171801.0859072837
2361,CinePizza,fast_food,,7,4006779.192620082,1171791.6501306822
2362,Ferro di Cavallo,restaurant,,10,4006777.54553008,1171785.5383693867
2363,Rossopomodoro,restaurant,,10,4009653.0849564215,1175853.1845386613
2364,Union,bar,,3,4008434.232424707,1181420.6002531648
2365,Bar Plaza,bar,,3,4008450.143904206,1181572.3547558375
2366,Bar Crema,bar,,3,4005717.6129895183,1177906.9771218186
2367,Bar,bar,,3,4005803.3474127227,1177218.6329804522
2368,Pomodorino,restaurant,,10,4005947.5019803066,1177901.2918513163
2369,Steak House Navigli 66,restaurant,,10,4006358.237173753,1173709.8091340063
2370,Next,bar,,3,4005910.1306315064,1177897.7062750214
2371,Pepe Nero,restaurant,,10,4005662.078453331,1178925.2408016394
2372,Bontà Sushi,restaurant,,10,4014095.1108126636,1181625.7581569413
2373,Vecchio Aratro,restaurant,,10,4011939.689016963,1181095.9963677432
2374,Carmen 2,restaurant,,10,4005271.4871872216,1171730.6288739024
2375,La casa del kebab,fast_food,,7,4005089.843802594,1171721.5800095152
2376,il mago,fast_food,,7,4005086.4247588734,1171719.5394298744
2377,La Magolfa 3,restaurant,,10,4005157.416592623,1171582.4509810922
2378,Dany Bar,bar,,3,4009539.306363807,1178283.5189272359
2379,Bar,bar,,3,4005139.657316986,1175316.859043188
2380,La Darsena 2 - Ristorante Pizzeria,restaurant,,10,4005169.9738258235,1175316.5121327573
2381,Tutta 'Nata Storia,restaurant,,10,4004963.974475329,1174711.4352608803
2382,Restaurant,restaurant,,10,4004922.515041013,1174715.1145175537
2383,La Piazzetta,restaurant,,10,4010982.789264707,1190197.7029319215
2384,Pizzeria,restaurant,,10,4011081.415344812,1190013.1013290018
2385,Sole d'oriente,restaurant,,10,4005373.3693934376,1174919.7317265554
2386,Pub,pub,,5,4005376.137946684,1174953.6659263605
2387,Konoka,restaurant,,10,4005128.666556313,1175012.9063510073
2388,Ghenza,restaurant,,10,4005113.315590392,1174768.5871903924
2389,Pasa Doner Kebap,fast_food,,7,4005392.652108116,1174813.6275473873
2390,Fico d'India,restaurant,,10,4005000.425255566,1174899.0147421474
2391,Il Paquito,restaurant,,10,4004977.280350947,1174900.152130573
2392,Moncibè,fast_food,,7,4005774.244775604,1174906.4362027175
2393,Taxi Blues,bar,,3,4006135.252417953,1176295.4281841975
2394,Il Pizzino,restaurant,,10,4006185.221985393,1176276.8661565166
2395,Taxi Blues,pub,,5,4006197.638144034,1176243.0739840295
2396,Taxi Blues,bar,,3,4006209.965051893,1175937.4081747034
2397,Bar,bar,,3,4008846.1298095686,1168600.8934279673
2398,Bar,bar,,3,4008806.6809898256,1168529.9687925437
2399,Birrificio Lambrate,pub,,5,4010062.6896833126,1181974.2976661613
2400,Al Confine,pub,,5,4007103.7282586573,1173882.1848518723
2401,Yguana,bar,,3,4007274.0556289386,1175410.868441935
