id,nome,tipo_edificio,coord_X,coord_Y,capienza
6814,Farmacia Boccaccio,pharmacy,4008530.9848558144,1173914.4127451354,10
6815,Auchan,supermarket,4009332.6116512087,1178010.3822788622,50
6816,Farmacia Bergognone,pharmacy,4006776.8011827804,1173039.0610998971,10
6817,Ultràchic,clothes,4008142.8045779206,1175273.3038309894,30
6818,Brandy Melville,clothes,4008179.1758929365,1175243.8008061848,30
6819,Farmacia Spirito Santo,pharmacy,4006481.9290208817,1164145.371517437,10
6820,Motivi,clothes,4007889.640514525,1177007.7466477922,30
6821,Max Mara,clothes,4007929.2308689905,1177071.1474457744,30
6822,Ravizza,clothes,4008070.2821331117,1176725.8762297805,30
6823,Carrefour,supermarket,4008863.3060033848,1180054.560409041,50
6824,Pharmacy,pharmacy,4010521.98401317,1181927.8142546914,10
6825,Farmacia Missori,pharmacy,4007373.221376166,1176246.2668736847,10
6826,Farmacia Moizio,pharmacy,4007274.18717706,1179930.080663836,10
6827,Tailor,tailor,4006774.3738535345,1176005.2994120358,15
6828,Farmacia Internazionale,pharmacy,4009645.916916105,1180043.5839150038,10
6829,Unes,supermarket,4006023.545761064,1178739.2693847697,50
6830,Clothes,clothes,4008350.65454371,1176579.7343716517,30
6831,Sandro Paris,clothes,4010164.9413790577,1176299.2160010668,30
6832,Pinko,clothes,4010172.870568995,1176302.2874546684,30
6833,Bershka,clothes,4007914.560584551,1177121.2315821513,30
6834,Gap,clothes,4007930.6432384085,1177211.0918936366,30
6835,Guess,clothes,4008014.117125823,1177472.7969367872,30
6836,Coin,clothes,4011994.2579887537,1171837.9867406567,30
6837,Parafarmacia Portello,pharmacy,4011728.973899813,1171202.6381419236,10
6838,Pharmacy,pharmacy,4011750.8625715193,1171340.3524497754,10
6839,Showroom Papaveri,clothes,4008247.4050393607,1179447.4873637315,30
6840,Tobacco,tobacco,4004300.761970188,1172787.8217207128,10
6841,Il Gigante,supermarket,4007084.1710731746,1171388.606194343,50
6842,Il Salvagente,clothes,4007733.093507284,1179559.8728067873,30
6843,Carrefour Express,supermarket,4005651.4234136418,1174448.0073852856,50
6844,OVS,clothes,4011577.4340879247,1182782.9213602692,30
6845,Pam,supermarket,4011524.6292970777,1182066.5146182687,50
6846,DMagazine Outlet,clothes,4008307.176800856,1177005.7055237344,30
6847,Accessorize,clothes,4008394.2778261118,1173145.7993098157,30
6848,Yamamay,clothes,4007883.9595469404,1176979.0644682336,30
6849,Agent Provocateur,clothes,4008222.223722007,1177012.4826861408,30
6850,Alexandre McQueen,clothes,4008247.494251803,1177105.997248611,30
6851,Burberry,clothes,4008254.6444943273,1177087.2549973459,30
6852,Cruciani,clothes,4008242.781203468,1177061.0841773108,30
6853,Dsquared2,clothes,4008206.522309375,1177020.416096948,30
6854,Etro,clothes,4008245.2817219887,1177067.046920843,30
6855,Gucci,clothes,4008252.91039059,1177115.547728103,30
6856,Il Gufo,clothes,4008228.418150256,1177026.6393479293,30
6857,Jil Sander,clothes,4008222.2608383587,1177053.398128624,30
6858,John Richmond,clothes,4008240.7443746845,1177055.075231996,30
6859,La Martina,clothes,4008217.2726360247,1177040.5236384997,30
6860,Oxford,clothes,4008199.2301703277,1177005.1801309579,30
6861,Tom Ford,clothes,4008209.867135989,1176986.535222421,30
6862,Clothes,clothes,4008268.9336315636,1177118.1488518263,30
6863,Golden Point,clothes,4007745.7700104383,1176219.6740291482,30
6864,Celio,clothes,4007901.9268392357,1176908.1934221836,30
6865,Max & Co.,clothes,4007924.437874655,1177038.5937920578,30
6866,London look,clothes,4007903.408249603,1176920.5060517276,30
6867,United Colors of Benetton,clothes,4007935.313523645,1177103.28331089,30
6868,Pull & Bear,clothes,4007922.7539875894,1177166.7153436432,30
6869,Alcott,clothes,4007870.0105631817,1176870.3245408789,30
6870,Intimissimi,clothes,4007863.3286237526,1176825.9852167098,30
6871,Zara,clothes,4010457.1176598505,1178434.4885948973,30
6872,Washington del Dottor Celi Mario,pharmacy,4007933.7601312282,1171982.8030811837,10
6873,Pharmacy,pharmacy,4007546.2216342,1172555.985546671,10
6874,Carrefour Express,supermarket,4008459.132706189,1174678.6174923317,50
6875,Farmacia Cadorna,pharmacy,4008457.461069948,1174701.6900009864,10
6876,Gucci,clothes,4008871.933664239,1176201.4285459637,30
6877,Yamamay,clothes,4004359.827319566,1180400.3293764798,30
6878,Tezenis,clothes,4010437.4207440102,1176283.0637501758,30
6879,Carrefour Express,supermarket,4009999.1879898715,1178809.0649163066,50
6880,Clothes,clothes,4011986.2738734493,1181269.425611969,30
6881,Calvin Klein Jeans,clothes,4009220.5831179074,1178759.0946380186,30
6882,Calzedonia,clothes,4009425.376402969,1179002.679252787,30
6883,H&M,clothes,4009324.827963063,1178879.7631433115,30
6884,Intimissimi,clothes,4009452.809109527,1179041.7675751762,30
6885,Mango,clothes,4009414.295894397,1178988.8035497847,30
6886,Sisley,clothes,4009380.03305537,1178945.4235185913,30
6887,Stradivarius,clothes,4009164.3236869834,1178676.4747234024,30
6888,Tally Weijl,clothes,4009598.0475953203,1179218.569059907,30
6889,United Colors of Benetton,clothes,4007782.07084427,1176264.7973778606,30
6890,Parashop,pharmacy,4009429.6966092866,1179014.0931860402,10
6891,Farmacia Cadore,pharmacy,4006723.846890532,1179281.5932913197,10
6892,Picard Surgelati,supermarket,4006746.120056874,1179302.4282914943,50
6893,Brandy Melville,clothes,4009534.0692086997,1176008.1741073907,30
6894,120% Lino,clothes,4009800.4507886083,1176110.7098686548,30
6895,Artest,clothes,4009784.7112161405,1176093.957771774,30
6896,Manila Grace,clothes,4009789.110391879,1176061.4690253756,30
